Year,Month,Day ,Hour,Irridiance,Temp
2016,4,1,20,0,22.86
2016,4,1,21,0,22.48
2016,4,1,22,0,21.73
2016,4,1,23,0,20.9
2016,4,2,0,0,20.45
2016,4,2,1,0,20.18
2016,4,2,2,0,19.93
2016,4,2,3,0,19.64
2016,4,2,4,0,19.37
2016,4,2,5,0,19.08
2016,4,2,6,49.57,20.56
2016,4,2,7,207.92,22.93
2016,4,2,8,385.33,25.5
2016,4,2,9,595.19,27.58
2016,4,2,10,781.3,29.38
2016,4,2,11,852.17,30.76
2016,4,2,12,837.15,31.74
2016,4,2,13,764.03,32.28
2016,4,2,14,604.12,32.43
2016,4,2,15,410.3,32.24
2016,4,2,16,219.7,31.44
2016,4,2,17,60.38,29.66
2016,4,2,18,0,27.84
2016,4,2,19,0,26.63
2016,4,2,20,0,25.71
2016,4,2,21,0,25.22
2016,4,2,22,0,24.69
2016,4,2,23,0,24.2
2016,4,3,0,0,23.83
2016,4,3,1,0,23.46
2016,4,3,2,0,23.14
2016,4,3,3,0,22.62
2016,4,3,4,0,22.01
2016,4,3,5,0,21.59
2016,4,3,6,21.62,23.01
2016,4,3,7,116.27,24.9
2016,4,3,8,229.38,27.31
2016,4,3,9,343.62,29.38
2016,4,3,10,350.34,30.95
2016,4,3,11,301.45,32.01
2016,4,3,12,280.06,32.65
2016,4,3,13,256.3,32.84
2016,4,3,14,127.76,32.78
2016,4,3,15,111.56,32.3
2016,4,3,16,38.37,31.51
2016,4,3,17,21.5,29.75
2016,4,3,18,0,27.37
2016,4,3,19,0,26.48
2016,4,3,20,0,25.81
2016,4,3,21,0,25.3
2016,4,3,22,0,24.96
2016,4,3,23,0,24.64
2016,4,4,0,0,24.33
2016,4,4,1,0,24.08
2016,4,4,2,0,23.87
2016,4,4,3,0,23.69
2016,4,4,4,0,23.59
2016,4,4,5,0,23.56
2016,4,4,6,59.97,24.41
2016,4,4,7,189.17,25.57
2016,4,4,8,365.16,27.01
2016,4,4,9,471.08,28.39
2016,4,4,10,488.88,29.72
2016,4,4,11,600.97,30.6
2016,4,4,12,590.81,31.13
2016,4,4,13,524.86,31.4
2016,4,4,14,301.78,31.51
2016,4,4,15,190.16,31.01
2016,4,4,16,131.74,30.21
2016,4,4,17,48.82,29.07
2016,4,4,18,0,27.38
2016,4,4,19,0,26.94
2016,4,4,20,0,26.59
2016,4,4,21,0,26.08
2016,4,4,22,0,25.48
2016,4,4,23,0,24.9
2016,4,5,0,0,24.47
2016,4,5,1,0,24.17
2016,4,5,2,0,23.86
2016,4,5,3,0,23.55
2016,4,5,4,0,23.38
2016,4,5,5,0,23.35
2016,4,5,6,36.85,24.38
2016,4,5,7,110.57,25.76
2016,4,5,8,189.98,27.9
2016,4,5,9,299.66,30.26
2016,4,5,10,376.73,32.06
2016,4,5,11,462.23,33.26
2016,4,5,12,436.78,33.97
2016,4,5,13,454.97,34.32
2016,4,5,14,303.04,34.01
2016,4,5,15,248.79,33.45
2016,4,5,16,151.7,32.18
2016,4,5,17,48.59,29.89
2016,4,5,18,0,27.76
2016,4,5,19,0,27.1
2016,4,5,20,0,26.39
2016,4,5,21,0,25.57
2016,4,5,22,0,25.11
2016,4,5,23,0,24.79
2016,4,6,0,0,24.53
2016,4,6,1,0,24.3
2016,4,6,2,0,23.98
2016,4,6,3,0,23.73
2016,4,6,4,0,23.58
2016,4,6,5,0,23.55
2016,4,6,6,60.78,24.33
2016,4,6,7,215.72,25.57
2016,4,6,8,389.07,27.16
2016,4,6,9,506.09,29.11
2016,4,6,10,577.45,31.09
